Channel s
==========
Fields         | Structure constants          | Relative errors            
V_{(13//2, 18//13)} |  6.81223e+57 + 3.23152e+57im |  6.35495e-01 + 0.00000e+00im
V_{(13//2, 20//13)} | -1.11753e+79 + 1.24746e+79im |  2.29917e+00 + 0.00000e+00im
V_{(13//2, 22//13)} | -5.33871e+70 + 6.60454e+69im |  2.42940e+00 + 0.00000e+00im
V_{(13//2, 24//13)} |  1.82382e+57 - 1.57795e+57im |  2.00392e+00 + 0.00000e+00im
Channel u
==========
Fields              | Structure constants          | Relative errors            
-------------------------------------------------------------------------
V_{(3//2, 0)}       | -7.44259e+68 - 5.86125e+68im |  3.92110e-01 + 0.00000e+00im
V_{(3//2, 2//3)}    |  2.91967e+69 - 3.11207e+69im |  4.24402e-01 + 0.00000e+00im
V_{(3//2, 4//3)}    |  2.57234e+51 + 1.88008e+51im |  2.94146e-01 + 0.00000e+00im
V_{(5//2, 0)}       |  6.54111e+68 - 1.95952e+68im |  3.92165e-01 + 0.00000e+00im
V_{(5//2, 2//5)}    | -1.79895e+68 + 3.95447e+69im |  3.63454e-01 + 0.00000e+00im
V_{(5//2, 4//5)}    |  8.11177e+50 + 1.23778e+51im |  3.50567e-01 + 0.00000e+00im
V_{(5//2, 6//5)}    | -1.81850e+54 - 1.41888e+54im |  3.85293e-01 + 0.00000e+00im
V_{(5//2, 8//5)}    | -1.85858e+49 + 2.18987e+50im |  3.89140e-01 + 0.00000e+00im
V_{(7//2, 0)}       | -1.64506e+68 - 2.46870e+68im |  3.92214e-01 + 0.00000e+00im
V_{(7//2, 2//7)}    |  3.30666e+68 - 3.40796e+68im |  1.09216e-01 + 0.00000e+00im
V_{(7//2, 4//7)}    |  2.33231e+53 + 7.67643e+52im |  2.47810e+00 + 0.00000e+00im
V_{(7//2, 6//7)}    |  1.66517e+69 - 1.09628e+69im |  3.92186e-01 + 0.00000e+00im
V_{(7//2, 8//7)}    | -1.53690e+68 + 4.37486e+68im |  3.92206e-01 + 0.00000e+00im
V_{(7//2, 10//7)}   | -1.64103e+69 - 1.68336e+69im |  3.01749e-01 + 0.00000e+00im
V_{(7//2, 12//7)}   |  3.05441e+50 + 8.63481e+50im |  8.77050e-01 + 0.00000e+00im
V_{(9//2, 0)}       |  2.29717e+53 - 5.74823e+53im |  2.46588e+00 + 0.00000e+00im
V_{(9//2, 2//9)}    | -1.55546e+69 - 8.44277e+68im |  3.92083e-01 + 0.00000e+00im
V_{(9//2, 4//9)}    | -6.57744e+53 - 8.12034e+53im |  4.74643e-01 + 0.00000e+00im
V_{(9//2, 2//3)}    |  1.20446e+53 + 5.46043e+53im |  2.45450e+00 + 0.00000e+00im
V_{(9//2, 8//9)}    |  1.33141e+69 - 7.43881e+68im |  3.92057e-01 + 0.00000e+00im
V_{(9//2, 10//9)}   |  2.03340e+54 - 6.09557e+53im |  4.35519e-01 + 0.00000e+00im
V_{(9//2, 4//3)}    | -1.17745e+53 + 1.33230e+52im |  2.47994e+00 + 0.00000e+00im
V_{(9//2, 14//9)}   |  9.77777e+67 + 1.93266e+69im |  3.92134e-01 + 0.00000e+00im
V_{(9//2, 16//9)}   | -5.23878e+53 + 1.26937e+54im |  4.92666e-01 + 0.00000e+00im
V_{(11//2, 0)}      |  1.36096e+69 - 3.66272e+68im |  4.63093e-01 + 0.00000e+00im
V_{(11//2, 2//11)}  |  1.37868e+52 - 1.44074e+53im |  4.09012e-01 + 0.00000e+00im
V_{(11//2, 4//11)}  |  1.45480e+58 + 1.60367e+58im |  2.26305e+00 + 0.00000e+00im
V_{(11//2, 6//11)}  | -9.08610e+68 + 1.85633e+69im |  4.29263e-01 + 0.00000e+00im
V_{(11//2, 8//11)}  |  6.11599e+53 - 8.68934e+51im |  2.68636e-01 + 0.00000e+00im
V_{(11//2, 10//11)} | -1.30095e+58 - 3.26042e+57im |  2.78977e+00 + 0.00000e+00im
V_{(11//2, 12//11)} |  8.85915e+53 - 1.57456e+52im |  4.35671e-01 + 0.00000e+00im
V_{(11//2, 14//11)} | -2.84175e+53 - 2.97843e+53im |  2.46193e+00 + 0.00000e+00im
V_{(11//2, 16//11)} | -8.74540e+67 + 1.23523e+69im |  3.92067e-01 + 0.00000e+00im
V_{(11//2, 18//11)} | -3.53908e+53 + 3.36730e+53im |  4.46724e-01 + 0.00000e+00im
V_{(11//2, 20//11)} | -4.82578e+57 - 2.53386e+58im |  1.81185e+00 + 0.00000e+00im
V_{(13//2, 0)}      | -6.10182e+68 - 5.87471e+67im |  5.25952e-01 + 0.00000e+00im
V_{(13//2, 2//13)}  |  1.43188e+54 - 3.47617e+54im |  6.31364e-01 + 0.00000e+00im
V_{(13//2, 4//13)}  | -6.45738e+57 - 2.44665e+58im |  2.12814e+00 + 0.00000e+00im
V_{(13//2, 6//13)}  |  2.14316e+69 - 1.33628e+69im |  9.10520e-01 + 0.00000e+00im
V_{(13//2, 8//13)}  |  2.27634e+54 + 2.64383e+54im |  5.67300e-01 + 0.00000e+00im
V_{(13//2, 10//13)} | -2.04343e+57 + 2.17086e+58im |  1.57614e+00 + 0.00000e+00im
V_{(13//2, 12//13)} | -2.96518e+69 + 1.05530e+69im |  6.04125e-01 + 0.00000e+00im
V_{(13//2, 14//13)} | -5.31800e+68 - 1.81213e+69im |  4.22275e-01 + 0.00000e+00im
V_{(13//2, 16//13)} | -1.69431e+53 + 1.08105e+54im |  4.17552e-01 + 0.00000e+00im
V_{(13//2, 18//13)} |  4.08502e+58 - 6.09381e+58im |  3.32360e+00 + 0.00000e+00im
V_{(13//2, 20//13)} |  1.02859e+69 + 7.29926e+68im |  4.39322e-01 + 0.00000e+00im
V_{(13//2, 22//13)} | -2.16774e+54 - 1.55991e+53im |  6.95337e-01 + 0.00000e+00im
V_{(13//2, 24//13)} |  1.99953e+57 + 5.05518e+58im |  3.26656e+00 + 0.00000e+00im

